# DEMO / PUBLIC DATA — synthetic ST-266-style secretome abundances. Not Noveome proprietary data.
# Rows = gene symbols; columns = lot_replicate LFQ-like intensities. See data/DEMO_PUBLIC_DATA.md.
gene,LotA_rep1,LotA_rep2,LotA_rep3,LotB_rep1,LotB_rep2,LotB_rep3,LotC_rep1,LotC_rep2,LotC_rep3,LotD_rep1,LotD_rep2,LotD_rep3
HSP90AA1,2.0274e+08,2.4848e+08,2.0685e+08,2.0160e+08,2.2758e+08,2.3991e+08,1.9978e+08,2.2144e+08,2.2040e+08,1.9628e+08,2.2555e+08,2.1015e+08
HSPA8,6.5762e+08,7.4724e+08,6.9398e+08,6.9335e+08,6.8096e+08,7.2172e+08,7.2836e+08,6.3724e+08,7.4151e+08,6.7783e+08,6.9688e+08,7.2998e+08
PEA15,4.0353e+08,4.3333e+08,4.5169e+08,3.9478e+08,3.8836e+08,4.5910e+08,3.5234e+08,3.5814e+08,4.4813e+08,4.8674e+08,3.6509e+08,3.5325e+08
CFLAR,2.5663e+08,3.2097e+08,3.1926e+08,3.2624e+08,3.0488e+08,2.8632e+08,2.9876e+08,3.2428e+08,3.0222e+08,2.8687e+08,3.2283e+08,2.7881e+08
TNFSF10,2.6015e+08,2.2225e+08,2.6924e+08,2.7732e+08,2.6069e+08,2.6098e+08,2.3817e+08,2.2946e+08,2.3183e+08,2.9048e+08,2.7943e+08,2.3961e+08
FAS,1.1627e+08,1.3293e+08,1.1845e+08,1.1848e+08,1.3294e+08,1.3232e+08,1.3234e+08,1.1411e+08,1.4003e+08,1.2696e+08,1.4132e+08,1.3389e+08
SOD1,7.1720e+08,6.7986e+08,6.8675e+08,6.7323e+08,7.9731e+08,6.9545e+08,6.3740e+08,6.9373e+08,7.6028e+08,8.1311e+08,7.3785e+08,8.1338e+08
SOD2,7.4927e+08,6.3707e+08,7.0801e+08,5.7839e+08,8.0387e+08,6.1167e+08,6.3279e+08,6.4583e+08,5.9574e+08,7.0592e+08,7.4226e+08,6.8380e+08
CAT,4.9319e+08,3.9730e+08,4.8958e+08,4.2102e+08,5.5442e+08,4.4172e+08,3.9908e+08,4.2016e+08,4.9353e+08,5.3941e+08,5.2329e+08,5.1005e+08
GPX1,1.4553e+08,1.3076e+08,1.5809e+08,1.5201e+08,1.5396e+08,1.6191e+08,1.2119e+08,1.4095e+08,1.6112e+08,1.5690e+08,1.5271e+08,1.3255e+08
PRDX1,6.7090e+08,6.4526e+08,6.5643e+08,6.7794e+08,6.1577e+08,6.9162e+08,5.8052e+08,5.5573e+08,5.3954e+08,7.0972e+08,6.7399e+08,6.3692e+08
TXN,6.2515e+08,5.8709e+08,5.5232e+08,6.7405e+08,5.5671e+08,5.1732e+08,5.9038e+08,6.1150e+08,5.4374e+08,6.3619e+08,6.2939e+08,6.0066e+08
GSTP1,5.4684e+08,6.8595e+08,6.2066e+08,6.5982e+08,6.2665e+08,5.8799e+08,6.2238e+08,5.8374e+08,6.1250e+08,5.6790e+08,6.7292e+08,6.4392e+08
PARK7,2.9518e+08,3.0484e+08,2.8210e+08,3.8323e+08,3.6950e+08,3.1805e+08,3.9595e+08,3.4000e+08,2.6858e+08,3.6408e+08,3.0287e+08,3.7017e+08
HMOX1,3.6794e+08,5.1818e+08,4.7407e+08,6.5358e+08,6.0701e+08,6.2719e+08,5.1403e+08,5.0230e+08,5.0663e+08,6.1457e+08,6.3500e+08,5.6237e+08
FTH1,6.6892e+08,8.1358e+08,5.9592e+08,6.0877e+08,7.8722e+08,7.6601e+08,6.3574e+08,7.2671e+08,6.8932e+08,8.0083e+08,7.1885e+08,8.3625e+08
FTL,4.0556e+08,3.3654e+08,4.2794e+08,4.2106e+08,4.2352e+08,4.0096e+08,3.5794e+08,4.0614e+08,3.4991e+08,4.0753e+08,3.5770e+08,4.0130e+08
IL4,7.9046e+06,9.9517e+06,8.0247e+06,9.4913e+06,1.0256e+07,1.1552e+07,9.4248e+06,9.2136e+06,9.4232e+06,9.4203e+06,9.6780e+06,8.5047e+06
IL13,2.6276e+07,2.5885e+07,2.5849e+07,2.6542e+07,2.7769e+07,2.6045e+07,2.7493e+07,2.5890e+07,2.0770e+07,2.6114e+07,2.9577e+07,2.8009e+07
CCL2,4.8423e+08,5.6988e+08,5.0735e+08,5.1810e+08,5.4463e+08,5.3868e+08,4.7516e+08,5.4801e+08,5.0662e+08,5.2355e+08,5.3840e+08,4.6230e+08
CXCL1,8.3106e+08,5.4028e+08,7.3528e+08,8.2438e+08,6.5334e+08,7.7478e+08,1.0428e+09,3.6883e+08,5.5183e+08,6.9549e+08,1.2749e+08,1.6471e+08
CSF1,5.4207e+08,5.1001e+08,5.7913e+08,5.0367e+08,5.3264e+08,5.3459e+08,5.2631e+08,4.7127e+08,6.0681e+08,6.3013e+08,5.3067e+08,5.3923e+08
LIF,6.1460e+08,5.3915e+08,5.8859e+08,5.7232e+08,5.8590e+08,5.5848e+08,5.5537e+08,4.8896e+08,4.7794e+08,5.6868e+08,5.9191e+08,5.7243e+08
OSM,2.8280e+08,3.4275e+08,2.5900e+08,3.0253e+08,3.7342e+08,2.8470e+08,3.2303e+08,2.6106e+08,2.6439e+08,2.9447e+08,3.0823e+08,3.3058e+08
IL11,1.7935e+08,2.0400e+08,2.0155e+08,2.0822e+08,1.9386e+08,1.7229e+08,1.6705e+08,1.7871e+08,1.7177e+08,1.9828e+08,2.0321e+08,1.8092e+08
IL1R2,4.2039e+08,4.8223e+08,4.3818e+08,4.9237e+08,5.0439e+08,5.1798e+08,4.7104e+08,4.8497e+08,4.3098e+08,4.3001e+08,5.8895e+08,4.3988e+08
YWHAZ,3.5730e+08,3.7726e+08,3.4643e+08,3.5718e+08,4.2021e+08,3.6891e+08,3.8684e+08,3.7029e+08,3.8878e+08,3.4643e+08,4.0260e+08,4.2414e+08
PPIA,3.5318e+08,4.2702e+08,4.1277e+08,4.8970e+08,4.9532e+08,4.2027e+08,3.5447e+08,4.3010e+08,4.2809e+08,4.7646e+08,4.3543e+08,4.2967e+08
LDHA,2.9782e+08,2.7786e+08,2.9388e+08,2.9384e+08,3.1018e+08,2.7458e+08,2.6213e+08,2.6398e+08,2.9580e+08,3.1012e+08,3.2084e+08,2.8143e+08
PKM,7.8782e+08,7.3687e+08,7.6938e+08,8.5348e+08,7.9972e+08,8.4076e+08,8.4592e+08,8.1021e+08,9.8078e+08,8.2849e+08,8.0299e+08,8.8975e+08
TPI1,6.1375e+08,7.4552e+08,6.8090e+08,6.7946e+08,7.5679e+08,8.2791e+08,8.3629e+08,6.6566e+08,7.4954e+08,7.6161e+08,7.5501e+08,7.7664e+08
PGK1,5.7101e+08,5.8790e+08,5.6405e+08,6.1451e+08,5.8276e+08,7.3775e+08,6.9226e+08,6.9727e+08,6.4707e+08,6.9262e+08,5.2270e+08,5.9233e+08
ALDOA,2.9656e+08,3.0481e+08,2.3171e+08,3.2099e+08,3.2226e+08,2.5836e+08,2.3372e+08,3.1224e+08,2.9284e+08,2.7154e+08,2.7505e+08,2.5414e+08
MDH2,9.8217e+07,1.0964e+08,9.3128e+07,9.0388e+07,8.5028e+07,1.0396e+08,9.5046e+07,8.8223e+07,8.8492e+07,9.9821e+07,9.6685e+07,1.1454e+08
IDH1,3.5262e+08,3.5257e+08,2.9603e+08,3.0801e+08,3.7065e+08,3.4848e+08,2.9263e+08,3.1819e+08,2.9329e+08,2.9837e+08,3.2639e+08,3.5993e+08
F2,6.6153e+08,7.1760e+08,8.2421e+08,6.8445e+08,7.2610e+08,6.2456e+08,7.4960e+08,8.0667e+08,7.3088e+08,6.6243e+08,7.3304e+08,8.0305e+08
